N=100 cut fraction,N=100 time to solution (s),N=500 cut fraction,N=500 time to solution (s),N=1000 cut fraction,N=1000 time to solution (s)
0.7933333333333333,0.0033097267150878906,0.848,0.010049104690551758,0.8433333333333334,0.026102304458618164
0.8333333333333334,0.0021538734436035156,0.844,0.011357545852661133,0.8393333333333334,0.027504920959472656
0.8266666666666667,0.002262592315673828,0.8386666666666667,0.011838197708129883,0.848,0.026468515396118164
0.86,0.0021097660064697266,0.844,0.009923458099365234,0.8453333333333334,0.029395580291748047
0.8133333333333334,0.002000570297241211,0.8466666666666667,0.01376199722290039,0.858,0.029184341430664062
0.84,0.002328157424926758,0.8533333333333334,0.010464906692504883,0.848,0.027512073516845703
0.8266666666666667,0.0019426345825195312,0.844,0.011556148529052734,0.8513333333333334,0.02374434471130371
0.84,0.0021295547485351562,0.824,0.010071516036987305,0.8406666666666667,0.025517940521240234
0.8333333333333334,0.0021142959594726562,0.8373333333333334,0.010480403900146484,0.8366666666666667,0.0260164737701416
0.8333333333333334,0.0022542476654052734,0.856,0.011402606964111328,0.838,0.03411245346069336
0.8666666666666667,0.002116680145263672,0.8573333333333333,0.011743307113647461,0.8446666666666667,0.026345014572143555
0.8533333333333334,0.0019555091857910156,0.8333333333333334,0.011685371398925781,0.842,0.02593994140625
0.8133333333333334,0.002504587173461914,0.8413333333333334,0.011352062225341797,0.8446666666666667,0.022118330001831055
0.8466666666666667,0.0024640560150146484,0.8506666666666667,0.011049985885620117,0.8473333333333334,0.028928518295288086
0.8466666666666667,0.0020182132720947266,0.8346666666666667,0.012605667114257812,0.8466666666666667,0.04301929473876953
0.8333333333333334,0.0021860599517822266,0.8613333333333333,0.011191844940185547,0.8513333333333334,0.03525733947753906
0.86,0.0026886463165283203,0.8493333333333334,0.010489702224731445,0.8273333333333334,0.026098966598510742
0.8133333333333334,0.002009153366088867,0.8453333333333334,0.010631084442138672,0.8513333333333334,0.03029322624206543
0.84,0.0021064281463623047,0.8453333333333334,0.01085352897644043,0.846,0.02838873863220215
0.8533333333333334,0.00241851806640625,0.8693333333333333,0.011494636535644531,0.8413333333333334,0.027347803115844727
0.8333333333333334,0.0019104480743408203,0.852,0.010336637496948242,0.852,0.027524232864379883
0.82,0.0019919872283935547,0.8346666666666667,0.010306835174560547,0.8553333333333333,0.0269162654876709
0.8533333333333334,0.001997709274291992,0.832,0.011107444763183594,0.842,0.03385281562805176
0.8533333333333334,0.002131223678588867,0.8306666666666667,0.010405302047729492,0.8426666666666667,0.029492616653442383
0.8266666666666667,0.001971721649169922,0.84,0.01081991195678711,0.844,0.027575254440307617
0.8333333333333334,0.0023040771484375,0.856,0.010885238647460938,0.8353333333333334,0.0282595157623291
0.84,0.002109050750732422,0.8506666666666667,0.011149168014526367,0.8526666666666667,0.027987241744995117
0.82,0.0024285316467285156,0.8426666666666667,0.011017322540283203,0.8366666666666667,0.023458003997802734
0.8533333333333334,0.0020020008087158203,0.8306666666666667,0.00956583023071289,0.8446666666666667,0.022351503372192383
0.82,0.0025298595428466797,0.8426666666666667,0.009519815444946289,0.8426666666666667,0.020359039306640625
0.8466666666666667,0.0021085739135742188,0.832,0.011396408081054688,0.8373333333333334,0.0227968692779541
0.82,0.0022928714752197266,0.8373333333333334,0.010070323944091797,0.8366666666666667,0.021523714065551758
0.8466666666666667,0.0022792816162109375,0.8533333333333334,0.01031184196472168,0.8473333333333334,0.020014047622680664
0.86,0.002278566360473633,0.8373333333333334,0.011145353317260742,0.8533333333333334,0.0204010009765625
0.86,0.002793550491333008,0.8293333333333334,0.010719060897827148,0.8593333333333333,0.021905183792114258
0.8533333333333334,0.002472400665283203,0.848,0.01271677017211914,0.8386666666666667,0.021304845809936523
0.82,0.002065896987915039,0.86,0.01048421859741211,0.85,0.020720481872558594
0.84,0.00244903564453125,0.8626666666666667,0.010440349578857422,0.8593333333333333,0.02235698699951172
0.8133333333333334,0.002503633499145508,0.8413333333333334,0.010851860046386719,0.836,0.020339488983154297
0.8333333333333334,0.0021750926971435547,0.852,0.010784626007080078,0.8406666666666667,0.026944875717163086
0.8466666666666667,0.0024013519287109375,0.8413333333333334,0.010165691375732422,0.8346666666666667,0.028192758560180664
0.84,0.0030138492584228516,0.844,0.011180639266967773,0.844,0.09751152992248535
0.8,0.0024330615997314453,0.8573333333333333,0.009972572326660156,0.8373333333333334,0.02931833267211914
0.8466666666666667,0.002017974853515625,0.8306666666666667,0.009565353393554688,0.8413333333333334,0.027245759963989258
0.8533333333333334,0.0026695728302001953,0.86,0.011523723602294922,0.856,0.03771471977233887
0.8666666666666667,0.002501964569091797,0.8373333333333334,0.009723424911499023,0.852,0.032907724380493164
0.8533333333333334,0.0023221969604492188,0.8506666666666667,0.009943246841430664,0.8373333333333334,0.02857065200805664
0.8666666666666667,0.002464771270751953,0.856,0.011039972305297852,0.8533333333333334,0.029412269592285156
0.82,0.0020499229431152344,0.8346666666666667,0.009834527969360352,0.8533333333333334,0.026708126068115234
0.8466666666666667,0.0021209716796875,0.8546666666666667,0.01047062873840332,0.8526666666666667,0.025120258331298828
0.8533333333333334,0.0020258426666259766,0.844,0.011195898056030273,0.8453333333333334,0.023738861083984375
0.8466666666666667,0.0020263195037841797,0.8626666666666667,0.011094331741333008,0.8626666666666667,0.02598428726196289
0.82,0.003961086273193359,0.8453333333333334,0.011357784271240234,0.844,0.026363372802734375
0.82,0.0020263195037841797,0.8453333333333334,0.01087808609008789,0.8453333333333334,0.023095369338989258
0.8066666666666666,0.002051115036010742,0.844,0.010465145111083984,0.846,0.019832134246826172
0.8333333333333334,0.002701282501220703,0.8426666666666667,0.010733604431152344,0.8493333333333334,0.023241043090820312
0.8733333333333333,0.0021431446075439453,0.848,0.010763883590698242,0.848,0.023283720016479492
0.8733333333333333,0.002658843994140625,0.848,0.010714292526245117,0.8486666666666667,0.022136688232421875
0.8266666666666667,0.0019237995147705078,0.844,0.010054349899291992,0.8486666666666667,0.020006179809570312
0.8533333333333334,0.0022890567779541016,0.856,0.010302305221557617,0.8526666666666667,0.024275779724121094
0.8533333333333334,0.0021283626556396484,0.86,0.011081695556640625,0.848,0.022297143936157227
0.8733333333333333,0.002100229263305664,0.8586666666666667,0.010876178741455078,0.852,0.021902084350585938
0.8133333333333334,0.0018508434295654297,0.84,0.0108184814453125,0.864,0.020799636840820312
0.8333333333333334,0.0019221305847167969,0.8493333333333334,0.010605573654174805,0.8486666666666667,0.020471811294555664
0.8333333333333334,0.0019431114196777344,0.8573333333333333,0.011091947555541992,0.8466666666666667,0.020826101303100586
0.86,0.0020530223846435547,0.848,0.010185718536376953,0.836,0.019982576370239258
0.8466666666666667,0.0032110214233398438,0.8533333333333334,0.011048078536987305,0.8353333333333334,0.02087259292602539
0.8533333333333334,0.0024962425231933594,0.852,0.010871648788452148,0.8513333333333334,0.02068328857421875
0.82,0.002409219741821289,0.8453333333333334,0.010690450668334961,0.8466666666666667,0.021220922470092773
0.8466666666666667,0.0023033618927001953,0.848,0.010146856307983398,0.856,0.021307706832885742
0.8866666666666667,0.0023043155670166016,0.856,0.011266231536865234,0.836,0.01961040496826172
0.84,0.0018339157104492188,0.8506666666666667,0.00991368293762207,0.8493333333333334,0.021973848342895508
0.86,0.002137899398803711,0.844,0.010451316833496094,0.8473333333333334,0.024061918258666992
0.86,0.0021698474884033203,0.8466666666666667,0.011047840118408203,0.8406666666666667,0.02170419692993164
