cut fraction,time to solution (s)
0.857333333,0
0.836,0.015621185
0.844666667,0.015627861
0.852666667,0.015614271
0.852666667,0
0.837333333,0.015620708
0.849333333,0
0.846666667,0
0.845333333,0.021877289
0.850666667,0.006978989
0.828,0.005983829
0.846666667,0.006974697
0.846666667,0.00698185
0.832666667,0.006984711
0.851333333,0.006984234
0.842666667,0.006980896
0.851333333,0.006976128
0.84,0.00698328
0.840666667,0.00697422
0.852666667,0.00709796
0.845333333,0.006981611
0.844666667,0.006990194
0.850666667,0.006981373
0.840666667,0.006981373
0.847333333,0.006981373
0.845333333,0.006981373
0.834666667,0.006981373
0.845333333,0.006981611
0.85,0.006982327
0.846,0
0.846,0.015666246
0.846,0.015618086
0.848666667,0
0.848666667,0
0.855333333,0.015619278
0.847333333,0
0.835333333,0
0.835333333,0.015622377
0.850666667,0.015630007
0.852666667,0
0.846666667,0
0.842666667,0
0.846666667,0.015623569
0.844,0.015621662
0.848666667,0
0.835333333,0
0.845333333,0
0.844666667,0
0.839333333,0.015579462
0.844,0.015661955
0.854,0.015629768
0.848,0.01561594
0.848666667,0
0.846,0.002076626
0.851333333,0.006981611
0.856,0.006981373
0.851333333,0.017129421
0.844666667,0.001045465
0.852,0.015668154
0.850666667,0
0.851333333,0.009839535
0.842666667,0.006984472
0.856,0.001097679
0.842,0.0156672
0.847333333,0
0.843333333,0
0.858666667,0.015620708
0.844,0.015620708
0.850666667,0.006984949
0.841333333,0.006980181
0.860666667,0
0.849333333,0.015661955
0.855333333,0.016704082
0.848,0
0.854,0
0.857333333,0
0.852666667,0
0.841333333,0.015621662
0.839333333,0.015622139
0.846,0
0.847333333,0
0.852666667,0.015619278
0.845333333,0.015621424
0.85,0.015621424
0.849333333,0.015624762
0.844,0.006981611
0.849333333,0.006985188
0.845333333,0.006981611
0.849333333,0.006979465
0.851333333,0.006974936
0.850666667,0.006980658
0.850666667,0.006981134
0.848,0.00698185
0.855333333,0.006979704
0.842666667,0.006979465
0.845333333,0.006989002
0.846666667,0.006985426
0.84,0.006981373
0.841333333,0.006981134
0.852666667,0.005987644
0.848666667,0.006980658
0.859333333,0.006995201
0.843333333,0.005984068
0.854,0.006980896
0.849333333,0.006983519
0.835333333,0.00698185
0.842,0.007979631
0.842666667,0.005990267
0.846,0.006979942
0.845333333,0.006983757
0.847333333,0.006981134
0.845333333,0.005047321
0.842,0.015665293
0.849333333,0.015619516
0.85,0
0.846,0
0.844,0.015621901
0.844,0.015624046
